OFFICIAL_SUBURB,NUM_RES_PROP,MED_LAND_EXTENT/m2,MED_TOT_BLD_AREA/m2,GV2012_VAL,GV2015_VAL
BRIDGETOWN,1889,300,97,370000.00,470000.00
BRIDGEWATER,43,1003,235,1240000.00,1450000.00
BRIZA,504,1023,285,1750000.00,2100000.00
BROADLANDS,,,,,
BROADLANDS PARK,987,160,20,70000.00,79000.00
BROADLANDS VILLAGE,609,243,58,383000.00,420000.00
BROOKLYN,1519,297,98,540000.00,650000.00
BUH-REIN ESTATE,269,261,131,722000.00,940000.00
BURGUNDY,795,467,176,976000.00,1450000.00
BURGUNDY ESTATE,298,207,146.5,1130000.00,1350000.00
CAMELOT,520,312.5,58,397000.00,450000.00
CAMPS BAY / BAKOVEN,1566,796.5,385,7000000.00,8600000.00
CAPE FARMS - DISTRICT B,18,442.5,211,269000.00,1715000.00
CAPE FARMS - DISTRICT C,57,664,286,2200000.00,2700000.00
CAPE FARMS - DISTRICT H,1,42827,1020,14500000.00,18100000.00
CAPE GATE,34,328,132,886000.00,1237500.00
CAPE TOWN AIRPORT,,,,,
CAPE TOWN CITY CENTRE,68,136,169.5,3600000.00,4300000.00
CAPRI,781,905,216,1380000.00,1650000.00
CAREY PARK,86,195,54,120000.00,130000.00
CARWICK,24,1060.5,215,1300000.00,1450000.00
CASTLE ROCK,25,1102,148,2200000.00,2600000.00
CENTURY CITY,657,331,163,1667000.00,2200000.00
CHANTECLER,130,1042.5,284,1655000.00,2000000.00
CHARLESVILLE,283,405,165,630000.00,730000.00
CHRIS HANI PARK,198,120,34,79000.00,89000.00
CHRIS NISSEN PARK,191,154,30,68000.00,77000.00
CHRISMAR,419,720,228,950000.00,1150000.00
CHURCHILL ESTATE,988,496,190,910000.00,1100000.00
CLAMHALL,217,619,222,950000.00,1120000.00
CLARA ANNA FONTEIN,,,,,
CLAREMONT,4632,494,196,1750000.00,2400000.00
CLARKES ESTATE,564,264,82.5,430000.00,490000.00
CLIFTON,174,469.5,284.5,14600000.00,19050000.00
CLOVELLY,260,688,231,2200000.00,2600000.00
COLORADO PARK,1495,382,142,500000.00,600000.00
CONNAUGHT,972,208,74,410000.00,480000.00
CONSTANTIA,3862,1680.5,389,4450000.00,5400000.00
CPUT,,,,,
CRAVENBY,668,471,179.5,610000.00,720000.00
CRAWFORD,1331,496,201,1100000.00,1340000.00
CROSSROADS,5270,120,39,146000.00,122000.00
CROYDON,104,518,182,546500.00,610000.00
CROYDON OLIVE ESTATE,111,612,278,1218000.00,2630000.00
CROYDON VINEYARD ESTATE,170,780,321,2184500.00,2915000.00
DANARAND,102,268,130,573500.00,650000.00
DE DUIN,163,992,335,1800000.00,2100000.00
DE GRENDEL FARM,,,,,
DE KUILEN,211,496,194,759000.00,950000.00
DE LA HAYE,471,952,273,1100000.00,1300000.00
DE OUDE SPRUIT,487,700,179,1029000.00,1300000.00
DE TIJGER,428,688,272,1530000.00,2000000.00
DE VELDE,,,,,
DE WIJNLANDEN ESTATE,205,696,303,2238500.00,2680000.00
DEACONVILLE,264,309,89,300500.00,335000.00
DEEPFREEZE,,,,,
DELFT 1 & 2,1900,89,40,195000.00,220000.00
DELFT 3,594,36,42,171000.00,110000.00
DELFT 4,1103,99,40,140000.00,155000.00
DELFT 5,1104,45,42,171000.00,110000.00
DELFT 6,1395,91,40,156000.00,150000.00
DELFT 7,1340,90,38,185000.00,200000.00
DELFT 8,1332,98,40,152000.00,170000.00
DELFT 9,1139,95,40,166000.00,185000.00
DELFT SOUTH,6175,160,24,103000.00,115000.00
DELRO VILLAGE,48,304.5,70.5,374500.00,430000.00
DENNEGEUR,432,645,293.5,2071000.00,2840000.00
DENNEMERE,1013,266,98,430000.00,500000.00
DEO GRACIA,85,771,266,1320000.00,1960000.00
DES HAMPDEN,236,613.5,240.5,727950.00,830000.00
DIE WINGERD,441,1021,273,1620000.00,1900000.00
DIEPRIVER,1147,460,157,1230000.00,1550000.00
DOBSON,326,575,207,970000.00,1150000.00
DOOR DE KRAAL,488,1078,287,1700000.00,2100000.00
DOOR DE KRAAL FARM,,,,,
DORHILL,69,992,242,1430000.00,1650000.00
DREAMWORLD,,,,,
DRIFTSANDS,439,162,37,90000.00,137219.00
DUNOON,2959,113,24,67000.00,79000.00
DUNROBIN,10,716.5,255.5,880000.00,965000.00
D'URBANVALE,793,375,173,1400000.00,1750000.00
DURBANVILLE,2307,1000,261,1800000.00,2100000.00
DURBANVILLE HILLS,260,1249,354,2100000.00,2605000.00
DURBANVILLE MEADOWS,166,322,122,950000.00,1150000.00
DURBELL,89,1288,365,2300000.00,2800000.00
DURMONTE,236,425.5,163,979500.00,1150000.00
EAGLE PARK,1081,264,59,400000.00,320000.00
EASTRIDGE,4196,154,72,231000.00,270000.00
EDENPARK,229,654,183,1000000.00,1150000.00
EDGEMEAD,3278,525,182,1230000.00,1500000.00
EENSGEVONDEN,,,,,
EERSTERIVIER,4604,312,64,360000.00,390000.00
EERSTERIVIER INDUSTRIA,5,264,113,,1680000.00
EERSTERIVIER SOUTH,1529,371,65,335000.00,400000.00
EIKENBOSCH KUILS RIVER,443,314,134,782000.00,930000.00
EIKENDAL,875,496,181,545000.00,620000.00
EINDHOVEN,1162,144,24,126000.00,140000.00
EKUPHUMULENI,322,196,67,390000.00,420000.00
ELECTRIC CITY,803,338,85,420000.00,470000.00
ELFINDALE,598,529,222,900000.00,1050000.00
ELIM,360,1005,270,1122000.00,1400000.00
ELNOR,241,573,155,510000.00,600000.00
ELSIES RIVER,1546,396.5,123,460000.00,550000.00
ELSIES RIVER INDUSTRIA,12,495.5,220.5,530000.00,625000.00
ENKANINI INFORMAL SETTLEMENT,,,,,
EPPING FOREST,704,194,72,410000.00,480000.00
EPPING INDUSTRIA 1,,,,,
EPPING INDUSTRIA 2,,,,,
ERINVALE ESTATE,365,985,415,5180000.00,6100000.00
EUREKA ESTATE,947,159,64,400000.00,470000.00
EVERGLEN,165,1029,361,2300000.00,2700000.00
EVERITE INDUSTRIA,,,,,
EVERSDAL - Bellville,594,1329.5,343,2034000.00,2450000.00
EVERSDAL - Durbanville,286,1029,281,1800000.00,2100000.00
EVERSDAL HEIGHTS,275,935,408,3014000.00,3800000.00
EYETHU,2484,181,56,187000.00,260000.00
FAIRDALE,506,112.5,46,38000.00,180000.00
FAIRFIELD ESTATE,512,545,188,910000.00,1100000.00
FAIRVIEW GOLF ESTATE,211,204,107,700000.00,780000.00
FALSE BAY COASTAL PARK,,,,,
FAURE,10,1146,214.5,429500.00,515000.00
FERNDALE,284,725,240,1090000.00,1250000.00
FERNWOOD,418,343,166,1210000.00,1400000.00
FIRGROVE,374,496,157,339000.00,380000.00
FIRGROVE RURAL,,,,,
FIRLANDS,5,10028,1105,4000000.00,4500000.00
FISANTEKRAAL,1278,179,27,50000.00,56000.00
FISANTEKRAAL INDUSTRIAL,,,,,
FISH HOEK,3316,495,188,1290000.00,1600000.00
FLAMINGO VLEI,571,769,286,1460000.00,1750000.00
FLORIDA,881,472,121,455000.00,560000.00
FORESHORE,4,124.5,131,415000.00,560000.00
FOREST HEIGHTS,1254,480,106.5,409000.00,480500.00
FOREST VILLAGE,438,338,82.5,409500.00,460000.00
FOUNTAIN VILLAGE,1501,75,40,250000.00,280000.00
FRAAIGELEGEN,62,1048,261,1610000.00,1900000.00
FRESNAYE,768,527.5,394,6500000.00,8600000.00
GANTS PARK,,,,,
GARDEN VILLAGE,118,306,72,140000.00,155000.00
GARDENS,1111,434,242,3500000.00,4250000.00
GATESVILLE,581,496,268,1240000.00,1500000.00
GAYLEE,434,743,209,549000.00,704500.00
GEORGE PARK,,,,,
GERSHAM,304,298,108,604000.00,665000.00
GLENCAIRN,1210,603,199,1370000.00,1600000.00
GLENHAVEN,503,595,226,778000.00,960000.00
GLENLILY,1029,496,196,910000.00,1100000.00
GLENWOOD,327,313,134,900000.00,1150000.00
GOEDE HOOP,21,1391,547,2120000.00,2800000.00
GOEDEHOOP,209,713,278,1325000.00,1720000.00
GOEDEMOED,444,952.5,235.5,1320000.00,1600000.00
GOLDEN ACRE,287,1567,336,2300000.00,2700000.00
GOLDEN HILL EXT 1,158,1494,371.5,2876000.00,3400000.00
GOLIATH ESTATE,5,1822,72,701000.00,780000.00
GOOD HOPE,,,,,
GOODRAIL,178,143,62.5,450000.00,530000.00
GOODWOOD  EXT 1,458,595,246,1140000.00,1350000.00
GOODWOOD ESTATE,865,495,203,840000.00,1050000.00
GORDON HEIGHTS,55,999,494,2800000.00,3400000.00
GORDONS BAY,1143,347,145,880000.00,1000000.00
GORDONS BAY EXT 12,168,870,342.5,2200000.00,2500000.00
GORDONS BAY VILLAGE,314,589.5,279,2100000.00,2400000.00
GORDONS STRAND ESTATE,211,496,212,945000.00,1150000.00
